cond,trial,method,rec_n,rec_d,recovery_rate,rel_err,r2,mse,nmse,lambda1,lambda2
10,14,HPP_sparseho,4,4,0.999999999975,0.6796087400275642,0.3506541606751451,4.704847874587557,0.5479093338780155,0.012505459449358236,0.001389495494373137
10,14,EN_manual,4,4,0.999999999975,0.8291884786154173,0.13055973767323947,6.299546285754314,0.7336220641276209,0.012505459449358236,0.001389495494373137
10,14,Ridge,4,4,0.999999999975,0.811457783146049,0.10260629593843373,6.502083490073895,0.7572088043713711,0.012505459449358236,0.001389495494373137
30,0,sparseho_EN,4,4,0.999999999975,0.9363660257285126,-0.12434144418648496,7.934270267662773,0.9661740094268088,0.0071968567300115215,0.06477171057010368
30,0,HPP_sparseho,4,4,0.999999999975,0.9307095497618472,-0.08838113621075894,7.680505004572039,0.9352724402311016,0.0071968567300115215,0.06477171057010368
30,0,EN_manual,3,4,0.74999999998125,0.9402709772305979,-0.12091938008149739,7.910121392227621,0.9632333463267096,0.0071968567300115215,0.06477171057010368
30,0,Ridge,4,4,0.999999999975,0.9351595932742313,-0.12423335499374377,7.93350750215888,0.966081125748753,0.0071968567300115215,0.06477171057010368
30,1,sparseho_EN,3,4,0.74999999998125,0.9484367033329855,0.004785941721238585,4.389968759207328,0.8512095196900218,9e-05,9.999999999999997e-06
30,1,HPP_sparseho,3,4,0.74999999998125,0.94383759327238,0.011965953287157327,4.358297154286829,0.8450684346183691,9e-05,9.999999999999997e-06
30,1,EN_manual,3,4,0.74999999998125,0.9787855063762488,-0.09782049284108307,4.842573943464155,0.9389691058356944,9e-05,9.999999999999997e-06
30,1,Ridge,3,4,0.74999999998125,0.978780632995213,-0.10405165875112221,4.870060114354686,0.9442986404190048,9e-05,9.999999999999997e-06
30,2,sparseho_EN,3,4,0.74999999998125,0.9223012265119472,-0.009999836098352866,6.98123434525449,0.8701383185811398,0.0054948620669267945,0.0006105402296585326
30,2,HPP_sparseho,4,4,0.999999999975,0.8604255758854088,-0.014721213039885495,7.013869042492115,0.8742058944821056,0.0054948620669267945,0.0006105402296585326
30,2,EN_manual,3,4,0.74999999998125,0.9810805699235549,-0.12019431880998277,7.742911208822882,0.96507342498078,0.0054948620669267945,0.0006105402296585326
30,2,Ridge,4,4,0.999999999975,0.9553245187561337,-0.11838010482744243,7.730371154347746,0.9635104374951461,0.0054948620669267945,0.0006105402296585326
30,3,sparseho_EN,3,4,0.74999999998125,0.9438006088811451,0.021551176427875074,4.750934226032417,0.8316767365054704,0.00020482613334673098,2.2758459260747882e-05
30,3,HPP_sparseho,2,4,0.4999999999875,0.9818708110310767,-0.11061268174874028,5.392666100126179,0.9440153725222338,0.00020482613334673098,2.2758459260747882e-05
30,3,EN_manual,3,4,0.74999999998125,0.9925423893982207,-0.14813340388746754,5.574850879442019,0.9759078036723285,0.00020482613334673098,2.2758459260747882e-05
30,3,Ridge,4,4,0.999999999975,0.99106205881338,-0.15346623499861356,5.6007448549236365,0.980440684154172,0.00020482613334673098,2.2758459260747882e-05
